連番,名前    ,   0,   1,   2,   3,   4,   5,   6,   7,   8,
   0,欠番    ,
   1,上一    ,１九,１八,１七,１六,１五,１四,１三,１二,１一,
   2,上２    ,２九,２八,２七,２六,２五,２四,２三,２二,２一,
   3,上３    ,３九,３八,３七,３六,３五,３四,３三,３二,３一,
   4,上４    ,４九,４八,４七,４六,４五,４四,４三,４二,４一,
   5,上５    ,５九,５八,５七,５六,５五,５四,５三,５二,５一,
   6,上６    ,６九,６八,６七,６六,６五,６四,６三,６二,６一,
   7,上７    ,７九,７八,７七,７六,７五,７四,７三,７二,７一,
   8,上８    ,８九,８八,８七,８六,８五,８四,８三,８二,８一,
   9,上９    ,９九,９八,９七,９六,９五,９四,９三,９二,９一,
  10,引１    ,１一,１二,１三,１四,１五,１六,１七,１八,１九,
  11,引２    ,２一,２二,２三,２四,２五,２六,２七,２八,２九,
  12,引３    ,３一,３二,３三,３四,３五,３六,３七,３八,３九,
  13,引４    ,４一,４二,４三,４四,４五,４六,４七,４八,４九,
  14,引５    ,５一,５二,５三,５四,５五,５六,５七,５八,５九,
  15,引６    ,６一,６二,６三,６四,６五,６六,６七,６八,６九,
  16,引７    ,７一,７二,７三,７四,７五,７六,７七,７八,７九,
  17,引８    ,８一,８二,８三,８四,８五,８六,８七,８八,８九,
  18,引９    ,９一,９二,９三,９四,９五,９六,９七,９八,９九,
  19,滑一    ,１一,２一,３一,４一,５一,６一,７一,８一,９一,
  20,滑二    ,１二,２二,３二,４二,５二,６二,７二,８二,９二,
  21,滑三    ,１三,２三,３三,４三,５三,６三,７三,８三,９三,
  22,滑四    ,１四,２四,３四,４四,５四,６四,７四,８四,９四,
  23,滑五    ,１五,２五,３五,４五,５五,６五,７五,８五,９五,
  24,滑六    ,１六,２六,３六,４六,５六,６六,７六,８六,９六,
  25,滑七    ,１七,２七,３七,４七,５七,６七,７七,８七,９七,
  26,滑八    ,１八,２八,３八,４八,５八,６八,７八,８八,９八,
  27,滑九    ,１九,２九,３九,４九,５九,６九,７九,８九,９九,
  28,射一    ,９一,８一,７一,６一,５一,４一,３一,２一,１一,
  29,射二    ,９二,８二,７二,６二,５二,４二,３二,２二,１二,
  30,射三    ,９三,８三,７三,６三,５三,４三,３三,２三,１三,
  31,射四    ,９四,８四,７四,６四,５四,４四,３四,２四,１四,
  32,射五    ,９五,８五,７五,６五,５五,４五,３五,２五,１五,
  33,射六    ,９六,８六,７六,６六,５六,４六,３六,２六,１六,
  34,射七    ,９七,８七,７七,６七,５七,４七,３七,２七,１七,
  35,射八    ,９八,８八,７八,６八,５八,４八,３八,２八,１八,
  36,射九    ,９九,８九,７九,６九,５九,４九,３九,２九,１九,
  37,昇内銀  ,３九,２八,１七,
  38,昇王    ,５九,４八,３七,２六,１五,
  39,昇外銀  ,７九,６八,５七,４六,３五,２四,１三,
  40,昇香    ,９九,８八,７七,６六,５五,４四,３三,２二,１一,
  41,昇陣    ,９七,８六,７五,６四,５三,４二,３一,
  42,昇川    ,９五,８四,７三,６二,５一,
  43,昇岸    ,９三,８二,７一,
  44,降内銀  ,１七,２八,３九,
  45,降王    ,１五,２六,３七,４八,５九,
  46,降外銀  ,１三,２四,３五,４六,５七,６八,７九,
  47,降香    ,１一,２二,３三,４四,５五,６六,７七,８八,９九,
  48,降陣    ,３一,４二,５三,６四,７五,８六,９七,
  49,降川    ,５一,６二,７三,８四,９五,
  50,降岸    ,７一,８二,９三,
  51,沈岸    ,３一,２二,１三,
  52,沈川    ,５一,４二,３三,２四,１五,
  53,沈陣    ,７一,６二,５三,４四,３五,２六,１七,
  54,沈香    ,９一,８二,７三,６四,５五,４六,３七,２八,１九,
  55,沈外銀  ,９三,８四,７五,６六,５七,４八,３九,
  56,沈王    ,９五,８六,７七,６八,９五,
  57,沈内銀  ,９七,８八,７九,
  58,沈岸    ,１三,２二,３一,
  59,浮川    ,１五,２四,３三,４二,５一,
  60,浮陣    ,１七,２六,３五,４四,５三,６二,７一,
  61,浮香    ,１九,２八,３七,４六,５五,６四,７三,８二,９一,
  62,浮外銀  ,３九,４八,５七,６六,７五,８四,９三,
  63,浮王    ,５九,６八,７七,８六,９五,
  64,浮内銀  ,７九,８八,９七,
  65,昇内桂  ,２九,１八,
  66,昇内金  ,４九,３八,２七,１六,
  67,昇外金  ,６九,５八,４七,３六,２五,１四,
  68,昇外桂  ,８九,７八,６七,５六,４五,３四,２三,１二,
  69,昇擦香  ,９八,８七,７六,６五,５四,４三,３二,２一,
  70,昇陣    ,９六,８五,７四,６三,５二,４一,
  71,昇岸前  ,９四,８三,７二,６一,
  72,昇岸中  ,９二,８一,
  73,降内桂  ,１八,２九,
  74,降内金  ,１六,２七,３八,４九,
  75,降外金  ,１四,２五,３七,４八,５九,
  76,降外桂  ,１二,２三,３四,４五,５六,６七,７八,８九,
  77,降擦香  ,２一,３二,４三,５四,６五,７六,８七,９八,
  78,降陣    ,４一,５二,６三,７四,８五,９六,
  79,降岸前  ,６一,７二,８三,９四,
  80,降岸中  ,８一,９二,
  81,沈岸中  ,２一,１二,
  82,沈岸前  ,４一,３二,２三,１四,
  83,沈前陣  ,６一,５二,４三,３四,２五,１六,
  84,沈擦香  ,８一,７二,６三,５四,４五,３六,２七,１八,
  85,沈外桂  ,９二,８三,７四,６五,５六,４七,３八,２九,
  86,沈外金  ,９四,８五,７六,６七,５八,４九,
  87,沈内金  ,９六,８七,７八,６九,
  88,沈内桂  ,９八,８九,
  89,浮岸中  ,１二,２一,
  90,浮岸前  ,１四,２三,３二,４一,
  91,浮前陣  ,１六,２五,３四,４三,５二,６一,
  92,浮擦香  ,１八,２七,３六,４五,５四,６三,７二,８一,
  93,浮外桂  ,２九,３八,４七,５六,６五,７四,８三,９二,
  94,浮外金  ,４九,５八,６七,７六,８五,９四,
  95,浮内金  ,６九,７八,８七,９六,
  96,浮内桂  ,８九,９八,
  97,駆内桂  ,２九,１七,
  98,駆内金  ,４九,３七,２五,１三,
  99,駆外金  ,６九,５七,４五,３三,２一,
 100,駆外桂  ,８九,７七,６五,５三,４一,
 101,駆陣    ,９七,８五,７三,６一,
 102,駆岸    ,９三,８一,
 103,退内桂  ,１七,２九,
 104,退内金  ,１三,２五,３七,４九,
 105,退外金  ,２一,３三,４五,５七,６九,
 106,退外桂  ,４一,５三,６五,７七,８九,
 107,退陣    ,６一,７三,８五,９七,
 108,退岸    ,８一,９三,
 109,踏岸    ,２一,１三,
 110,踏陣    ,４一,３三,２五,１七,
 111,踏外桂  ,６一,５三,４五,３七,２九,
 112,踏外金  ,８一,７三,６五,５七,４九,
 113,踏内金  ,９三,８五,７七,６九,
 114,踏内桂  ,９七,８九,
 115,跳岸    ,１三,２一,
 116,跳陣    ,１七,２五,３三,４一,
 117,跳外桂  ,２九,３七,４五,５三,６一,
 118,跳外金  ,４九,５七,６五,７三,８一,
 119,跳内金  ,６九,７七,８五,９三,
 120,跳内桂  ,８九,９七,
 121,駆内銀  ,３九,２七,１五,
 122,駆王    ,５九,４七,３五,２三,１一,
 123,駆外銀  ,７九,６七,５五,４三,３一,
 124,駆香    ,９九,８七,７五,６三,５一,
 125,駆川    ,９五,８三,７一,
 126,退内銀  ,１五,２七,３九,
 127,退王    ,１一,２三,３五,４七,５九,
 128,退外銀  ,３一,４三,５五,６七,７九,
 129,退香    ,５一,６三,７五,８七,９九,
 130,退川    ,７一,８三,９五,
 131,踏川    ,３一,２三,１五,
 132,踏香    ,５一,４三,３五,２七,１九,
 133,踏外銀  ,７一,６三,５五,４七,３九,
 134,踏王    ,９一,８三,７五,６七,５九,
 135,跳内銀  ,９五,８七,７九,
 136,跳川    ,１五,２三,３一,
 137,跳香    ,１九,２七,３五,４三,５一,
 138,跳外銀  ,３九,４七,５五,６三,７一,
 139,跳王    ,５九,６七,７五,８三,９一,
 140,跳内銀  ,７九,８七,９五,
 141,駆内擦桂,２八,１六,
 142,駆内擦金,４八,３六,２四,１二,
 143,駆外擦金,６八,５六,４四,３二,
 144,駆外擦桂,８八,７六,６四,５二,
 145,駆前陣  ,９六,８四,７二,
 146,退内擦桂,１六,２八,
 147,退内擦金,１二,２四,３六,４八,
 148,退外擦金,３二,４四,５六,６八,
 149,退外擦桂,５二,６四,７六,８八,
 150,退前陣  ,７二,８四,９六,
 151,踏前陣  ,３二,２四,１六,
 152,踏外擦桂,５二,４四,３六,２八,
 153,踏外擦金,７二,６四,５六,４八,
 154,踏内擦金,９二,８四,７六,６八,
 155,踏内擦桂,９六,８八,
 156,不跳前陣,１六,２四,３二,
 157,跳外擦桂,２八,３六,４四,５二,
 158,跳外擦金,４八,５六,６四,７二,
 159,跳内擦金,６八,５六,８四,９二,
 160,跳内擦桂,８八,９六,
 161,駆内擦銀,３八,２六,１四,
 162,駆擦王  ,５八,４六,３四,２二,
 163,駆外擦銀,７八,６六,５四,４二,
 164,駆擦香  ,９八,８六,７四,６二,
 165,駆岸前  ,９四,８二,
 166,退内擦銀,１四,２六,３八,
 167,退擦王  ,２二,３四,４六,５八,
 168,退外擦銀,４二,５四,６六,７八,
 169,退擦香  ,６二,７四,８六,９八,
 170,退岸前  ,８二,９四,
 171,踏岸前  ,２二,１四,
 172,踏擦香  ,４二,３四,２六,１八,
 173,踏外擦銀,６二,５四,４六,３八,
 174,踏擦王  ,８二,７四,６六,５八,
 175,踏内擦銀,９四,８六,７八,
 176,跳岸前  ,１四,２二,
 177,跳擦香  ,１八,２六,３四,４二,
 178,跳外擦銀,３八,４六,５四,６二,
 179,跳擦王  ,５八,６六,７四,８二,
 180,跳内擦銀,７八,８六,９四,
 181,上歩打面,１二,１三,１四,１五,１六,１七,１八,１九,２二,２三,２四,２五,２六,２七,２八,２九,３二,３三,３四,３五,３六,３七,３八,３九,４二,４三,４四,４五,４六,４七,４八,４九,５二,５三,５四,５五,５六,５七,５八,５九,６二,６三,６四,６五,６六,６七,６八,６九,７二,７三,７四,７五,７六,７七,７八,７九,８二,８三,８四,８五,８六,８七,８八,８九,９二,９三,９四,９五,９六,９七,９八,９九,
 182,引歩打面,１一,１二,１三,１四,１五,１六,１七,１八,２一,２二,２三,２四,２五,２六,２七,２八,３一,３二,３三,３四,３五,３六,３七,３八,４一,４二,４三,４四,４五,４六,４七,４八,５一,５二,５三,５四,５五,５六,５七,５八,６一,６二,６三,６四,６五,６六,６七,６八,７一,７二,７三,７四,７五,７六,７七,７八,８一,８二,８三,８四,８五,８六,８七,８八,９一,９二,９三,９四,９五,９六,９七,９八,
 183,上香打面,１二,１三,１四,１五,１六,１七,１八,１九,２二,２三,２四,２五,２六,２七,２八,２九,３二,３三,３四,３五,３六,３七,３八,３九,４二,４三,４四,４五,４六,４七,４八,４九,５二,５三,５四,５五,５六,５七,５八,５九,６二,６三,６四,６五,６六,６七,６八,６九,７二,７三,７四,７五,７六,７七,７八,７九,８二,８三,８四,８五,８六,８七,８八,８九,９二,９三,９四,９五,９六,９七,９八,９九,
 184,引香打面,１一,１二,１三,１四,１五,１六,１七,１八,２一,２二,２三,２四,２五,２六,２七,２八,３一,３二,３三,３四,３五,３六,３七,３八,４一,４二,４三,４四,４五,４六,４七,４八,５一,５二,５三,５四,５五,５六,５七,５八,６一,６二,６三,６四,６五,６六,６七,６八,７一,７二,７三,７四,７五,７六,７七,７八,８一,８二,８三,８四,８五,８六,８七,８八,９一,９二,９三,９四,９五,９六,９七,９八,
 185,上桂打面,１三,１四,１五,１六,１七,１八,１九,２三,２四,２五,２六,２七,２八,２九,３三,３四,３五,３六,３七,３八,３九,４三,４四,４五,４六,４七,４八,４九,５三,５四,５五,５六,５七,５八,５九,６三,６四,６五,６六,６七,６八,６九,７三,７四,７五,７六,７七,７八,７九,８三,８四,８五,８六,８七,８八,８九,９三,９四,９五,９六,９七,９八,９九,
 186,引桂打面,１一,１二,１三,１四,１五,１六,１七,２一,２二,２三,２四,２五,２六,２七,３一,３二,３三,３四,３五,３六,３七,４一,４二,４三,４四,４五,４六,４七,５一,５二,５三,５四,５五,５六,５七,６一,６二,６三,６四,６五,６六,６七,７一,７二,７三,７四,７五,７六,７七,８一,８二,８三,８四,８五,８六,８七,９一,９二,９三,９四,９五,９六,９七,
 187,全打面  ,１一,１二,１三,１四,１五,１六,１七,１八,１九,２一,２二,２三,２四,２五,２六,２七,２八,２九,３一,３二,３三,３四,３五,３六,３七,３八,３九,４一,４二,４三,４四,４五,４六,４七,４八,４九,５一,５二,５三,５四,５五,５六,５七,５八,５九,６一,６二,６三,６四,６五,６六,６七,６八,６九,７一,７二,７三,７四,７五,７六,７七,７八,７九,８一,８二,８三,８四,８五,８六,８七,８八,８九,９一,９二,９三,９四,９五,９六,９七,９八,９九,
